epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.11834852397441864,4.19397497177124,1e-06,0.14729204773902893,2.8375420570373535
1,0.13713578879833221,3.1009981632232666,1e-06,0.15707777440547943,2.6267833709716797
2,0.15935425460338593,2.8510663509368896,1e-06,0.1778302639722824,2.476062059402466
3,0.17448532581329346,2.7173550128936768,1e-06,0.1985827535390854,2.380737066268921
4,0.19074136018753052,2.6233718395233154,1e-06,0.21494853496551514,2.2979896068573
5,0.20795364677906036,2.5508265495300293,1e-06,0.23823182284832,2.2248146533966064
6,0.2240409553050995,2.491901397705078,1e-06,0.2500421702861786,2.1659419536590576
7,0.2356845587491989,2.4419493675231934,1e-06,0.266745388507843,2.1041665077209473
8,0.24547192454338074,2.3965682983398438,1e-06,0.2738316059112549,2.052866220474243
9,0.2549780607223511,2.3591957092285156,1e-06,0.28041166067123413,2.0310678482055664
10,0.26527169346809387,2.324660539627075,1e-06,0.29542770981788635,1.9867054224014282
11,0.27612778544425964,2.2892510890960693,1e-06,0.29795849323272705,1.9549715518951416
12,0.27961525321006775,2.264068603515625,1e-06,0.30993756651878357,1.9313935041427612
13,0.27984026074409485,2.2442750930786133,1e-06,0.3178673982620239,1.9024137258529663
14,0.29204633831977844,2.210761785507202,1e-06,0.3274843990802765,1.8709100484848022
