full_path,age,age_groups,gender,true_label
/content/wiki_final_cropped/35$1$3085782_1930-04-21_1965.jpg,35,5,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
/content/wiki_final_cropped/78$1$452503_1901-03-29_1979.jpg,78,7,1,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
/content/wiki_final_cropped/29$0$18752276_1984-11-06_2014.jpg,29,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/28$1$23121362_1986-01-24_2014.jpg,28,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/62$0$23777739_1950-06-21_2012.jpg,62,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
/content/wiki_final_cropped/41$0$16934208_1965-04-10_2006.jpg,41,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
/content/wiki_final_cropped/22$0$2262667_1983-09-01_2006.jpg,22,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/23$1$36103645_1992-01-04_2015.jpg,23,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/36$1$3824329_1973-07-13_2010.jpg,36,5,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
/content/wiki_final_cropped/21$1$10711069_1984-11-10_2006.jpg,21,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/23$1$31535899_1987-10-13_2011.jpg,23,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/45$1$2590180_1967-11-10_2013.jpg,45,5,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
/content/wiki_final_cropped/57$0$217702_1956-01-21_2013.jpg,57,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
/content/wiki_final_cropped/25$1$43784134_1988-05-31_2013.jpg,25,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/53$0$212829_1954-04-15_2007.jpg,53,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
/content/wiki_final_cropped/27$1$29375925_1986-05-16_2013.jpg,27,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/41$1$895731_1972-05-31_2013.jpg,41,5,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
/content/wiki_final_cropped/23$1$2268332_1941-11-24_1965.jpg,23,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/34$0$16756777_1948-01-21_1982.jpg,34,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
/content/wiki_final_cropped/24$1$6901318_1987-11-30_2012.jpg,24,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/31$1$900625_1976-06-12_2007.jpg,31,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/24$1$7759007_1989-06-25_2013.jpg,24,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/20$0$12260545_1993-08-18_2014.jpg,20,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/28$1$1790121_1977-03-10_2005.jpg,28,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/54$0$31912274_1957-09-13_2012.jpg,54,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
/content/wiki_final_cropped/55$1$231323_1922-01-04_1977.jpg,55,6,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
/content/wiki_final_cropped/54$1$1778000_1960-01-17_2014.jpg,54,6,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
/content/wiki_final_cropped/19$1$2499706_1951-02-07_1970.jpg,19,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/33$1$36702306_1979-01-16_2012.jpg,33,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/59$1$422679_1955-05-08_2014.jpg,59,6,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
/content/wiki_final_cropped/38$0$2505788_1975-04-08_2013.jpg,38,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
/content/wiki_final_cropped/29$1$21607632_1960-02-12_1989.jpg,29,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/32$1$11784203_1981-03-03_2013.jpg,32,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/65$1$1214030_1941-06-15_2006.jpg,65,7,1,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
/content/wiki_final_cropped/21$1$38468356_1992-03-05_2013.jpg,21,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/27$0$6458989_1984-11-09_2012.jpg,27,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/43$1$849305_1965-05-17_2008.jpg,43,5,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
/content/wiki_final_cropped/60$1$6467403_1951-04-04_2011.jpg,60,6,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
/content/wiki_final_cropped/84$0$479225_1927-12-24_2012.jpg,84,8,0,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
/content/wiki_final_cropped/30$0$11034983_1977-04-22_2007.jpg,30,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/24$0$15585484_1986-03-18_2010.jpg,24,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/100$1$37965507_1885-02-22_1985.jpg,100,8,1,[0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]
/content/wiki_final_cropped/24$1$36125204_1940-03-02_1964.jpg,24,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/46$1$25624_1967-02-18_2013.jpg,46,5,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
/content/wiki_final_cropped/23$0$18901579_1985-02-13_2008.jpg,23,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/26$1$6554910_1973-05-24_1999.jpg,26,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/22$1$2741197_1987-06-16_2009.jpg,22,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/27$1$36721921_1983-01-23_2010.jpg,27,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/22$1$40547_1956-07-15_1979.jpg,22,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/44$0$1431018_1961-09-11_2006.jpg,44,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
/content/wiki_final_cropped/50$1$39276788_1961-08-24_2012.jpg,50,6,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
/content/wiki_final_cropped/57$1$3400444_1951-06-02_2008.jpg,57,6,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
/content/wiki_final_cropped/32$1$7787413_1976-05-07_2008.jpg,32,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/53$1$37162664_1960-04-02_2013.jpg,53,6,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
/content/wiki_final_cropped/33$0$23735232_1979-04-17_2012.jpg,33,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/64$1$1219509_1906-02-03_1970.jpg,64,6,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
/content/wiki_final_cropped/34$1$201840_1978-06-09_2012.jpg,34,5,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
/content/wiki_final_cropped/30$1$18791112_1930-02-04_1960.jpg,30,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/29$1$19708224_1986-03-05_2015.jpg,29,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/21$1$40444877_1992-04-28_2013.jpg,21,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/28$0$24485433_1977-10-22_2006.jpg,28,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/89$1$15155_1917-04-26_2006.jpg,89,8,1,[0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]
/content/wiki_final_cropped/31$1$26371966_1942-11-10_1974.jpg,31,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/24$1$19317007_1984-10-20_2009.jpg,24,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
/content/wiki_final_cropped/59$1$8518739_1947-04-26_2006.jpg,59,6,1,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
/content/wiki_final_cropped/36$1$410484_1969-12-19_2006.jpg,36,5,1,[0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
/content/wiki_final_cropped/54$0$23992653_1957-05-07_2011.jpg,54,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
/content/wiki_final_cropped/24$0$7828469_1984-08-17_2009.jpg,24,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/23$0$38089872_1991-07-09_2015.jpg,23,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
/content/wiki_final_cropped/33$1$3920652_1979-12-26_2013.jpg,33,4,1,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
