db_name,full_path,age
/content/face-alignment-mtcnn/cropped_fgnet,056A15.JPG,15
/content/face-alignment-mtcnn/cropped_fgnet,061A15.JPG,15
/content/face-alignment-mtcnn/cropped_fgnet,020A20.JPG,20
/content/face-alignment-mtcnn/cropped_fgnet,073A15.JPG,15
/content/face-alignment-mtcnn/cropped_fgnet,012A14.JPG,14
/content/face-alignment-mtcnn/cropped_fgnet,044A25.JPG,25
/content/face-alignment-mtcnn/cropped_fgnet,026A06.JPG,6
/content/face-alignment-mtcnn/cropped_fgnet,039A52.JPG,52
/content/face-alignment-mtcnn/cropped_fgnet,028A26.JPG,26
/content/face-alignment-mtcnn/cropped_fgnet,060A06.JPG,6
/content/face-alignment-mtcnn/cropped_fgnet,054A10.JPG,10
/content/face-alignment-mtcnn/cropped_fgnet,007A37.JPG,37
/content/face-alignment-mtcnn/cropped_fgnet,051A02.JPG,2
/content/face-alignment-mtcnn/cropped_fgnet,014A30.JPG,30
/content/face-alignment-mtcnn/cropped_fgnet,075A03.JPG,3
/content/face-alignment-mtcnn/cropped_fgnet,043A04.JPG,4
/content/face-alignment-mtcnn/cropped_fgnet,014A16.JPG,16
/content/face-alignment-mtcnn/cropped_fgnet,045A19.JPG,19
/content/face-alignment-mtcnn/cropped_fgnet,059A14.JPG,14
/content/face-alignment-mtcnn/cropped_fgnet,037A13.JPG,13
/content/face-alignment-mtcnn/cropped_fgnet,024A19.JPG,19
/content/face-alignment-mtcnn/cropped_fgnet,020A36.JPG,36
/content/face-alignment-mtcnn/cropped_fgnet,054A12.JPG,12
/content/face-alignment-mtcnn/cropped_fgnet,065A12.JPG,12
/content/face-alignment-mtcnn/cropped_fgnet,058A13.JPG,13
/content/face-alignment-mtcnn/cropped_fgnet,046A06.JPG,6
/content/face-alignment-mtcnn/cropped_fgnet,060A05.JPG,5
/content/face-alignment-mtcnn/cropped_fgnet,012A34.JPG,34
/content/face-alignment-mtcnn/cropped_fgnet,023A09.JPG,9
/content/face-alignment-mtcnn/cropped_fgnet,046A00.JPG,0
/content/face-alignment-mtcnn/cropped_fgnet,069A06.JPG,6
/content/face-alignment-mtcnn/cropped_fgnet,073A14.JPG,14
/content/face-alignment-mtcnn/cropped_fgnet,002A03.JPG,3
/content/face-alignment-mtcnn/cropped_fgnet,068A13.JPG,13
/content/face-alignment-mtcnn/cropped_fgnet,050A00.JPG,0
/content/face-alignment-mtcnn/cropped_fgnet,069A05.JPG,5
/content/face-alignment-mtcnn/cropped_fgnet,001A43b.JPG,43
/content/face-alignment-mtcnn/cropped_fgnet,076A00.JPG,0
/content/face-alignment-mtcnn/cropped_fgnet,061A26.JPG,26
/content/face-alignment-mtcnn/cropped_fgnet,043A15.JPG,15
/content/face-alignment-mtcnn/cropped_fgnet,011A05.JPG,5
/content/face-alignment-mtcnn/cropped_fgnet,001A02.JPG,2
/content/face-alignment-mtcnn/cropped_fgnet,059A16.JPG,16
/content/face-alignment-mtcnn/cropped_fgnet,006A51.JPG,51
/content/face-alignment-mtcnn/cropped_fgnet,044A17.JPG,17
/content/face-alignment-mtcnn/cropped_fgnet,023A25.JPG,25
/content/face-alignment-mtcnn/cropped_fgnet,006A31.JPG,31
/content/face-alignment-mtcnn/cropped_fgnet,075A06.JPG,6
/content/face-alignment-mtcnn/cropped_fgnet,032A28.JPG,28
/content/face-alignment-mtcnn/cropped_fgnet,081A00.JPG,0
/content/face-alignment-mtcnn/cropped_fgnet,014A36.JPG,36
/content/face-alignment-mtcnn/cropped_fgnet,017A19.JPG,19
/content/face-alignment-mtcnn/cropped_fgnet,020A13.JPG,13
/content/face-alignment-mtcnn/cropped_fgnet,025A28.JPG,28
/content/face-alignment-mtcnn/cropped_fgnet,039A16.JPG,16
/content/face-alignment-mtcnn/cropped_fgnet,052A18.JPG,18
/content/face-alignment-mtcnn/cropped_fgnet,046A10.JPG,10
/content/face-alignment-mtcnn/cropped_fgnet,079A00.JPG,0
/content/face-alignment-mtcnn/cropped_fgnet,077A14.JPG,14
/content/face-alignment-mtcnn/cropped_fgnet,080A07.JPG,7
/content/face-alignment-mtcnn/cropped_fgnet,007A23.JPG,23
/content/face-alignment-mtcnn/cropped_fgnet,031A03.JPG,3
/content/face-alignment-mtcnn/cropped_fgnet,016A10.JPG,10
/content/face-alignment-mtcnn/cropped_fgnet,057A18.JPG,18
/content/face-alignment-mtcnn/cropped_fgnet,080A08.JPG,8
/content/face-alignment-mtcnn/cropped_fgnet,081A04.JPG,4
/content/face-alignment-mtcnn/cropped_fgnet,040A05.JPG,5
/content/face-alignment-mtcnn/cropped_fgnet,038A34.JPG,34
/content/face-alignment-mtcnn/cropped_fgnet,058A17.JPG,17
/content/face-alignment-mtcnn/cropped_fgnet,059A12.JPG,12
/content/face-alignment-mtcnn/cropped_fgnet,035A23b.JPG,23
/content/face-alignment-mtcnn/cropped_fgnet,076A02.JPG,2
/content/face-alignment-mtcnn/cropped_fgnet,053A13.JPG,13
/content/face-alignment-mtcnn/cropped_fgnet,005A48.JPG,48
/content/face-alignment-mtcnn/cropped_fgnet,036A11.JPG,11
/content/face-alignment-mtcnn/cropped_fgnet,026A19.JPG,19
/content/face-alignment-mtcnn/cropped_fgnet,054A19.JPG,19
/content/face-alignment-mtcnn/cropped_fgnet,076A03.JPG,3
/content/face-alignment-mtcnn/cropped_fgnet,026A07.JPG,7
/content/face-alignment-mtcnn/cropped_fgnet,041A24.JPG,24
/content/face-alignment-mtcnn/cropped_fgnet,077A04.JPG,4
/content/face-alignment-mtcnn/cropped_fgnet,054A00.JPG,0
/content/face-alignment-mtcnn/cropped_fgnet,042A01.JPG,1
/content/face-alignment-mtcnn/cropped_fgnet,027A02.JPG,2
/content/face-alignment-mtcnn/cropped_fgnet,006A69.JPG,69
/content/face-alignment-mtcnn/cropped_fgnet,012A26.JPG,26
/content/face-alignment-mtcnn/cropped_fgnet,042A05.JPG,5
/content/face-alignment-mtcnn/cropped_fgnet,048A49.JPG,49
/content/face-alignment-mtcnn/cropped_fgnet,004A37.JPG,37
/content/face-alignment-mtcnn/cropped_fgnet,072A34.JPG,34
/content/face-alignment-mtcnn/cropped_fgnet,019A03.JPG,3
/content/face-alignment-mtcnn/cropped_fgnet,071A18.JPG,18
/content/face-alignment-mtcnn/cropped_fgnet,037A11.JPG,11
/content/face-alignment-mtcnn/cropped_fgnet,016A07.JPG,7
/content/face-alignment-mtcnn/cropped_fgnet,022A11.JPG,11
/content/face-alignment-mtcnn/cropped_fgnet,067A33.JPG,33
/content/face-alignment-mtcnn/cropped_fgnet,049A04.JPG,4
/content/face-alignment-mtcnn/cropped_fgnet,012A07.JPG,7
/content/face-alignment-mtcnn/cropped_fgnet,034A25.JPG,25
/content/face-alignment-mtcnn/cropped_fgnet,012A21.JPG,21
/content/face-alignment-mtcnn/cropped_fgnet,030A18.JPG,18
/content/face-alignment-mtcnn/cropped_fgnet,073A07.JPG,7
/content/face-alignment-mtcnn/cropped_fgnet,013A00.JPG,0
/content/face-alignment-mtcnn/cropped_fgnet,053A12.JPG,12
/content/face-alignment-mtcnn/cropped_fgnet,072A45.JPG,45
/content/face-alignment-mtcnn/cropped_fgnet,065A13.JPG,13
/content/face-alignment-mtcnn/cropped_fgnet,040A00.JPG,0
/content/face-alignment-mtcnn/cropped_fgnet,078A07.JPG,7
/content/face-alignment-mtcnn/cropped_fgnet,055A23.JPG,23
/content/face-alignment-mtcnn/cropped_fgnet,012A36.JPG,36
/content/face-alignment-mtcnn/cropped_fgnet,022A27.JPG,27
/content/face-alignment-mtcnn/cropped_fgnet,049A05.JPG,5
/content/face-alignment-mtcnn/cropped_fgnet,076A11.JPG,11
/content/face-alignment-mtcnn/cropped_fgnet,042A28.JPG,28
/content/face-alignment-mtcnn/cropped_fgnet,057A17.JPG,17
/content/face-alignment-mtcnn/cropped_fgnet,069A07.JPG,7
/content/face-alignment-mtcnn/cropped_fgnet,047A18.JPG,18
/content/face-alignment-mtcnn/cropped_fgnet,067A14.JPG,14
/content/face-alignment-mtcnn/cropped_fgnet,015A09.JPG,9
/content/face-alignment-mtcnn/cropped_fgnet,069A10.JPG,10
/content/face-alignment-mtcnn/cropped_fgnet,076A08.JPG,8
/content/face-alignment-mtcnn/cropped_fgnet,055A05.JPG,5
/content/face-alignment-mtcnn/cropped_fgnet,005A45.JPG,45
/content/face-alignment-mtcnn/cropped_fgnet,048A15.JPG,15
/content/face-alignment-mtcnn/cropped_fgnet,017A26.JPG,26
/content/face-alignment-mtcnn/cropped_fgnet,079A06.JPG,6
/content/face-alignment-mtcnn/cropped_fgnet,024A00.JPG,0
/content/face-alignment-mtcnn/cropped_fgnet,045A18.JPG,18
/content/face-alignment-mtcnn/cropped_fgnet,020A16.JPG,16
/content/face-alignment-mtcnn/cropped_fgnet,074A11.JPG,11
